form,lemma,POS,morph
tu,tu,PROper,Case=Nom|Numb=Sing
certe,certe,ADV,Deg=Pos
meus,meus,PROpos,Case=Nom|Numb=Sing|Gend=Masc
es,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
nunc,nunc,ADV,Deg=Pos
nostri,noster,PROpos,Case=Gen|Numb=Plur
nate,natus1,NOMcom,Case=Voc|Numb=Sing
memento,memini,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
te,tu,PROper,Case=Acc|Numb=Sing
primum,primum,ADJadv.ord,Deg=Sup
peperi,pario2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
tu,tu,PROper,Case=Nom|Numb=Sing
nunc,nunc,ADV,Deg=Pos
imitare,imitor,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep|Person=2
parentem,parens1,NOMcom,Case=Acc|Numb=Sing
60,3,ADJcar,MORPH=empty
sume,sumo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
meos,meus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
mores,mos,NOMcom,Case=Acc|Numb=Plur
et,et2,CONcoo,MORPH=empty
regem,rex,NOMcom,Case=Acc|Numb=Sing
vince,uinco,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
tacendo,taceo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
tu,tu,PROper,Case=Nom|Numb=Sing
poteris,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
durare,duro,VER,Mood=Inf|Tense=Pres|Voice=Act
diu,diu,ADV,Deg=Pos
si,si2,CONsub,MORPH=empty
tempora,tempus1,NOMcom,Case=Acc|Numb=Plur
vinces,uinco,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
perfida,perfidus1,ADJqua,Case=Abl|Numb=Plur|Gend=Neut|Deg=Pos
ne,ne4,CONsub,MORPH=empty
superet,supero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sanctos,sanctus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
violentia,uiolentia,NOMcom,Case=Nom|Numb=Sing
regis,rego,NOMcom,Case=Gen|Numb=Sing
utere,utor,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep|Person=2
consilio,consilium,NOMcom,Case=Abl|Numb=Sing
matris,mater,NOMcom,Case=Gen|Numb=Sing
nec,nec2,CONcoo,MORPH=empty
damna,damnum,NOMcom,Case=Acc|Numb=Plur
timebis,timeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
fortior,fortis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
esto,sum1,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
aere,aes,NOMcom,Case=Abl|Numb=Sing
saxoque,saxum,NOMcom,Case=Abl|Numb=Sing
{saxoque},que,CON,MORPH=empty
potentior,potens,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
ipso,ipse,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
65,3,ADJcar,MORPH=empty
ingredere,ingredior,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep|Person=2
ut,ut1,ADVrel,MORPH=empty
iuvenis,iuuenis1,NOMcom,Case=Acc|Numb=Sing
patienter,patienter,ADV,Deg=Pos
vince,uinco,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
dolores,dolor,NOMcom,Case=Acc|Numb=Plur
”,”,PUNC,MORPH=empty
Ille,ille,PROdem,Case=Nom|Numb=Sing|Gend=Masc
modo,modo1,ADV,Deg=Pos
ad,ad2,PRE,MORPH=empty
matrem,mater,NOMcom,Case=Acc|Numb=Sing
vultus,uultus,NOMcom,Case=Nom|Numb=Sing
modo,modo1,ADV,Deg=Pos
tollit,tollo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
altum,altum,NOMcom,Case=Acc|Numb=Sing
dumque,dum,CONsub,MORPH=empty
{dumque},que,CON,MORPH=empty
tacet,taceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tacitusque,tacitus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
{tacitusque},que,CON,MORPH=empty
rogat,rogo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
debet,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
orat,oro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
sensit,sentio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
rapidos,rapidus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
subiectis,subicio,VER,Case=Abl|Numb=Plur|Gend=Com
cratibus,crates,NOMcom,Case=Abl|Numb=Plur
ignes,ignis,NOMcom,Case=Acc|Numb=Plur
corpus,corpus,NOMcom,Case=Acc|Numb=Sing
inane,inanis,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
fluit,fluo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mater,mater,NOMcom,Case=Nom|Numb=Sing
gavisa,gaudeo,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=SemDep
dolore,dolor,NOMcom,Case=Abl|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
70,3,ADJcar,MORPH=empty
et,et2,CONcoo,MORPH=empty
dixit,dico2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
Vici,uinco,VER,Numb=Sing|Person=1
vincam,uinco,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
sic,sic,ADV,Deg=Pos
saepius,saepe,ADV,Deg=Comp
oro,oro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
duret,duro,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
natorum,natus1,NOMcom,Case=Gen|Numb=Plur
virtus,uirtus,NOMcom,Case=Nom|Numb=Sing
incognita,incognitus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
regi,rex,NOMcom,Case=Dat|Numb=Sing
sed,sed,CONcoo,MORPH=empty
iam,iam,ADV,Deg=Pos
nota,notus2,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
deo,deus,NOMcom,Case=Dat|Numb=Sing
populi,populus1,NOMcom,Case=Gen|Numb=Sing
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
pectora,pectus,NOMcom,Case=Acc|Numb=Plur
novit,nosco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
Finierat,finio,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
primi,primus,ADJord,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
partus,partus1,NOMcom,Case=Nom|Numb=Sing
fecunda,fecundus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
dolorem,dolor,NOMcom,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
remanente,remaneo,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
metu,metus,NOMcom,Case=Abl|Numb=Sing
pro,pro1,PRE,MORPH=empty
pluribus,multus,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Comp
anxia,anxius,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
mater,mater,NOMcom,Case=Nom|Numb=Sing
75,3,ADJcar,MORPH=empty
dissimulatque,dissimulo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
{dissimulatque},que,CON,MORPH=empty
tamen,tamen,ADV,Deg=Pos
ne,ne4,CONsub,MORPH=empty
regem,rex,NOMcom,Case=Acc|Numb=Sing
gaudia,gaudium,NOMcom,Case=Acc|Numb=Plur
tangant,tango,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
rex,rex,NOMcom,Case=Nom|Numb=Sing
stupet,stupeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Antiochus,Antiochus,NOMpro,Case=Nom|Numb=Sing
nec,nec2,CONcoo,MORPH=empty
credit,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
posse,possum1,VER,Mood=Inf|Tense=Pres|Voice=Act
sequentes,sequor,VER,Case=Acc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Dep
poenae,poena,NOMcom,Case=Gen|Numb=Sing
tale,talis,PROdem,Case=Acc|Numb=Sing|Gend=Neut
genus,genus1,NOMcom,Case=Acc|Numb=Sing
simili,similis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
pervincere,peruinco,VER,Mood=Inf|Tense=Pres|Voice=Act
sensu,sensus,NOMcom,Case=Abl|Numb=Sing
coepta,coepio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
iubet,iubeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
peragi,perago,ADJqua,Mood=Inf|Tense=Pres|Voice=Pass
mater,mater,NOMcom,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
territa,terreo,VER,Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
mansit,maneo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
tamen,tamen,ADV,Deg=Pos
ut,ut4,CONsub,MORPH=empty
vidit,uideo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
pallentem,palleo,ADJqua,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
adsistere,assisto,VER,Mood=Inf|Tense=Pres|Voice=Act
natum,natus1,NOMcom,Case=Acc|Numb=Sing
80,3,ADJcar,MORPH=empty
haec,hic1,PROdem,Case=Acc|Numb=Plur|Gend=Neut
secum,sui,PROref,Case=Abl|Numb=Sing
{secum},cum3,CON,MORPH=empty
volvens,uoluo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
aliqua,aliquis,PROind,Case=Abl|Numb=Sing|Gend=Fem
iam,iam,ADV,Deg=Pos
parte,pars,NOMcom,Case=Abl|Numb=Sing
levatur,leuo1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
”,”,PUNC,MORPH=empty
Ecce,ecce,INJ,MORPH=empty
secunda,secundus1,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
mihi,ego,PROper,Case=Dat|Numb=Sing
partus,partus1,NOMcom,Case=Nom|Numb=Sing
producitur,produco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
aetas,aetas,NOMcom,Case=Nom|Numb=Sing
quam,qui1,PROrel,Numb=Sing|Gend=Fem
similis,similis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
fratris,frater,NOMcom,Case=Gen|Numb=Sing
formae,forma,NOMcom,Case=Gen|Numb=Sing
si,si2,CONsub,MORPH=empty
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
duras,durus,ADJqua,Numb=Sing|Gend=Fem|Deg=Pos|Person=2
et,et2,CONcoo,MORPH=empty
sequeris,sequor,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=2
primi,primus,ADJord,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
partus,partus1,NOMcom,Case=Gen|Numb=Sing
vestigia,uestigium,NOMcom,Case=Acc|Numb=Plur
nostri,noster,PROpos,Case=Gen|Numb=Sing|Gend=MascNeut
esse,sum1,VER,Mood=Inf|Tense=Pres|Voice=Act
meus,meus,PROpos,Case=Nom|Numb=Sing|Gend=Masc
poteris,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
poteris,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
reparare,reparo2,VER,Mood=Inf|Tense=Pres|Voice=Act
salutem,salus,NOMcom,Case=Acc|Numb=Sing
85,3,ADJcar,MORPH=empty
quam,qui1,PROrel,Case=Acc|Gend=Fem
iam,iam,ADV,Deg=Pos
frater,frater,NOMcom,Case=Nom|Numb=Sing
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
matris,mater,NOMcom,Case=Gen|Numb=Sing
praecepta,praeceptum,NOMcom,Case=Acc|Numb=Plur
secutus,sequor,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
pone,pono,PRE,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
metus,metus,NOMcom,Case=Acc|Numb=Plur
regisque,rex,NOMcom,Case=Gen|Numb=Sing
{regisque},que,CON,MORPH=empty
minas,minae,NOMcom,Case=Acc|Numb=Plur
contemne,contemno,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
furentis,furo,ADJqua,Case=Acc|Numb=Plur|Gend=Com
regnaque,regnum,NOMcom,Case=Acc|Numb=Plur
{regnaque},que,CON,MORPH=empty
quis,quis1,PROrel,Case=Abl|Numb=Plur|Gend=Com
cursim,cursim,ADV,Deg=Pos
labentia,labor2,VER,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Dep
tempora,tempus1,NOMcom,Case=Nom|Numb=Plur
dantur,do,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
non,non,ADVneg,MORPH=empty
poterit,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
post,post2,PRE,MORPH=empty
ista,iste,PROdem,Case=Acc|Numb=Plur|Gend=Neut
tibi,tu,PROper,Case=Dat|Numb=Sing
rex,rex,NOMcom,Case=Voc|Numb=Sing
iste,iste,PROdem,Case=Nom|Numb=Sing|Gend=Masc
nocere,noceo,VER,Mood=Inf|Tense=Pres|Voice=Act
sed,sed,CONcoo,MORPH=empty
poteris,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
post,post2,PRE,MORPH=empty
haec,hic1,PROdem,Case=Acc|Numb=Plur|Gend=Neut
tu,tu,PROper,Case=Nom|Numb=Sing
regi,rex,NOMcom,Case=Dat|Numb=Sing
nate,natus1,NOMcom,Case=Voc|Numb=Sing
nocere,noceo,VER,Mood=Inf|Tense=Pres|Voice=Act
90,3,ADJcar,MORPH=empty
temporis,tempus1,NOMcom,Case=Gen|Numb=Sing
ecce,ecce,INJ,MORPH=empty
levis,leuis1,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
conscendere,conscendo,VER,Mood=Inf|Tense=Pres|Voice=Act
cogeris,cogo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=2
ignes,ignis,NOMcom,Case=Acc|Numb=Plur
virtutis,uirtus,NOMcom,Case=Gen|Numb=Sing
locus,locus,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
languentem,langueo,VER,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
pone,pono,PRE,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
timorem,timor,NOMcom,Case=Acc|Numb=Sing
esto,sum1,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
memor,memor,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
nostri,noster,PROpos,Case=Gen|Numb=Sing|Gend=MascNeut
generis,genus1,NOMcom,Case=Gen|Numb=Sing
si,si2,CONsub,MORPH=empty
sensus,sensus,NOMcom,Case=Nom|Numb=Sing
inhaeret,inhaereo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hic,hic1,PROdem,Case=Nom|Numb=Sing|Gend=Masc
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
sceptra,sceptrum,NOMcom,Case=Acc|Numb=Plur
tenet,teneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
regno,regnum,NOMcom,Case=Abl|Numb=Sing
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
saevit,saeuio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
isto,iste,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
tempus,tempus1,NOMcom,Case=Acc|Numb=Sing
inane,inanis,ADJqua,Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
agitat,agito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
regno,regnum,NOMcom,Case=Abl|Numb=Sing
vitaque,uita,NOMcom,Case=Abl|Numb=Sing
{vitaque},que,CON,MORPH=empty
carebit,careo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
95,3,ADJcar,MORPH=empty
damnatusque,damno,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
{damnatusque},que,CON,MORPH=empty
nocens,nocens,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
aeternos,aeternus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
sentiet,sentio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ignes,ignis,NOMcom,Case=Acc|Numb=Plur
tu,tu,PROper,Case=Voc|Numb=Sing
securus,securus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
eris,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
turba,turba,NOMcom,Case=Abl|Numb=Sing
comitante,comitor,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Dep
piorum,pius,ADJqua,Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
aspice,aspicio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
nate,natus1,NOMcom,Case=Voc|Numb=Sing
meos,meus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
vultus,uultus,NOMcom,Case=Acc|Numb=Plur
et,et2,CONcoo,MORPH=empty
suspice,suspicio2,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
caelum,caelum1,NOMcom,Case=Acc|Numb=Sing
auctoremque,auctor,NOMcom,Case=Acc|Numb=Sing
{auctoremque},que,CON,MORPH=empty
deum,deus,NOMcom,Case=Acc|Numb=Sing
per,per,PRE,MORPH=empty
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
tibi,tu,PROper,Case=Dat|Numb=Sing
vita,uita,NOMcom,Case=Nom|Numb=Sing
paratur,paro2,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
fac,facio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
melius,bene,ADV,Numb=Sing|Deg=Comp
fratrisque,frater,NOMcom,Case=Gen|Numb=Sing
{fratrisque},que,CON,MORPH=empty
tui,tuus,PROpos,Case=Gen|Numb=Sing|Gend=MascNeut
vestigia,uestigium,NOMcom,Case=Acc|Numb=Plur
calca,calco,ADJqua,Case=Acc|Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act
100,3,ADJcar,MORPH=empty
non,non,ADVneg,MORPH=empty
quod,qui2,CONsub,Case=Acc|Numb=Sing|Gend=Neut
iste,iste,PROdem,Case=Nom|Numb=Sing|Gend=Masc
iubet,iubeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
quod,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Neut
deus,deus,NOMcom,Case=Nom|Numb=Sing
imperat,impero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
audi,audio,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
”,”,PUNC,MORPH=empty
sicut,sicut1,ADVrel,MORPH=empty
erat,sum1,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
monitus,monitus,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
matrem,mater,NOMcom,Case=Acc|Numb=Sing
caelumque,caelum,NOMcom,Case=Acc|Numb=Sing
{caelumque},que,CON,MORPH=empty
videre,uideo,VER,Mood=Inf|Tense=Pres|Voice=Act
constitit,consisto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
atque,atque1,CONcoo,MORPH=empty
hilari,hilaris,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
vultu,uultus,NOMcom,Case=Abl|Numb=Sing
contemnere,contemno,VER,Mood=Inf|Tense=Pres|Voice=Act
regem,rex,NOMcom,Case=Acc|Numb=Sing
coepit,coepio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
ut,ut1,ADVrel,MORPH=empty
ridens,rideo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
ardentes,ardens,VER,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
inruit,irruo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ignes,ignis,NOMcom,Case=Acc|Numb=Plur
conlapsusque,collabor,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
{conlapsusque},que,CON,MORPH=empty
iacens,iaceo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
anima,anima,NOMcom,Case=Abl|Numb=Sing
superante,supero,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
quievit,quiesco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
105,3,ADJcar,MORPH=empty
mater,mater,NOMcom,Case=Nom|Numb=Sing
ut,ut4,CONsub,MORPH=empty
hoc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Neut
vidit,uideo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
rigido,rigidus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
sic,sic,ADV,Deg=Pos
ore,os1,NOMcom,Case=Abl|Numb=Sing
locuta,loquor,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
Felix,felix,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
parte,pars,NOMcom,Case=Abl|Numb=Sing
aliqua,aliquis,PROind,Case=Abl|Numb=Sing|Gend=Fem
sum,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
iamiam,iamiam,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
potes,possum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
omnes,omnis,PROind,Case=Acc|Numb=Plur|Gend=MascFem
saeve,saeuus,ADJqua,Case=Voc|Numb=Sing|Gend=Masc|Deg=Pos
tyranne,tyrannus,NOMcom,Case=Voc|Numb=Sing
meos,meus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
cruciando,crucio,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
vincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
natos,natus1,NOMcom,Case=Acc|Numb=Plur
te,tu,PROper,Case=Acc|Numb=Sing
gravior,grauis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
mox,mox,ADV,Deg=Pos
poena,poena,NOMcom,Case=Nom|Numb=Sing
manet,maneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
crudelis,crudelis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
in,in,PRE,MORPH=empty
igne,ignis,NOMcom,Case=Abl|Numb=Sing
quam,quam1,ADVrel,Numb=Sing|Gend=Fem
patiere,patior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=2
brevi,breuis,ADV,Deg=Pos
deus,deus,NOMcom,Case=Nom|Numb=Sing
haec,hic1,PROdem,Case=Acc|Numb=Plur|Gend=Neut
namque,namque,CONcoo,MORPH=empty
omnia,omnis,PROind,Case=Acc|Numb=Plur|Gend=Neut
cernit,cerno,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
110,3,ADJcar,MORPH=empty
Iam,iam,ADV,Deg=Pos
duo,duo,ADJcar,Case=Nom|Numb=Plur|Gend=MascNeut
securi,securis,ADJqua,Case=Nom|Numb=Plur|Gend=Masc
contempto,contemno,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
rege,rex,NOMcom,Case=Abl|Numb=Sing
manebant,maneo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
spes,spes,NOMcom,Case=Nom|Numb=Sing
melior,bonus,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
iam,iam,ADV,Deg=Pos
matris,mater,NOMcom,Case=Gen|Numb=Sing
erat,sum1,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
iam,iam,ADV,Deg=Pos
tertius,tertius,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
instat,insto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ecce,ecce,INJ,MORPH=empty
locus,locus,NOMcom,Case=Nom|Numb=Sing
poenae,poena,NOMcom,Case=Gen|Numb=Sing
si,si2,CONsub,MORPH=empty
poena,poena,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
vincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
regem,rex,NOMcom,Case=Acc|Numb=Sing
et,et2,CONcoo,MORPH=empty
servire,seruio,VER,Mood=Inf|Tense=Pres|Voice=Act
deo,deus,NOMcom,Case=Dat|Numb=Sing
laus,laus,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
poena,poena,NOMcom,Case=Nom|Numb=Sing
furentis,furo,ADJqua,Case=Gen|Numb=Sing|Gend=MascFem|Deg=Pos
tertius,tertius,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
adtrahitur,attraho,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
iuvenis,iuuenis1,NOMcom,Case=Nom|Numb=Sing
frendente,frendo,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
tyranno,tyrannus,NOMcom,Case=Abl|Numb=Sing
115,3,ADJcar,MORPH=empty
