form,lemma,POS,morph
primum,primum,ADJadv.ord,Deg=Sup
tormentis,tormentum,NOMcom,Case=Abl|Numb=Plur
vincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
saevis,saeuus,ADJqua,Case=Dat|Numb=Plur|Gend=Com|Deg=Pos
pertulit,perfero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
illa,ille,PROdem,Case=Nom|Numb=Sing|Gend=Fem
graves,grauis,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
gemitus,gemitus,NOMcom,Case=Acc|Numb=Plur
et,et2,CONcoo,MORPH=empty
tristia,tristis,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
regis,rex,NOMcom,Case=Gen|Numb=Sing
verbera,uerber,NOMcom,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
timuit,timeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
victum,uictus,VER,Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
ut,ut4,CONsub,MORPH=empty
se,sui1,PROref,Case=Acc|Numb=Sing
vidit,uideo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
at,at2,CONcoo,MORPH=empty
ille,ille,PROdem,Case=Nom|Numb=Sing|Gend=Masc
”,”,PUNC,MORPH=empty
Heu,heu,INJ,MORPH=empty
quid,quis1,PROint,Case=Acc|Numb=Sing|Gend=Neut
agam,ago,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
”,”,PUNC,MORPH=empty
dixit,dico2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
vincis,uinco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
quod,quod2,CONsub,MORPH=empty
femina,femina,NOMcom,Case=Nom|Numb=Sing
regem,rex,NOMcom,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
tamen,tamen,ADV,Deg=Pos
effugies,effugio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
plus,multus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Comp
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod,quod2,CONsub,MORPH=empty
dura,durus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
dolebis,doleo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
20,3,ADJcar,MORPH=empty
in,in,PRE,MORPH=empty
natos,natus1,NOMcom,Case=Acc|Numb=Plur
saevibo,saeuio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act
tuos,tuus,PROpos,Case=Acc|Numb=Plur|Gend=Masc
licet,licet3,CONsub,Mood=Ind|Tense=Pres|Voice=Act|Person=3
inproba,improbus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
perstes,persto,VER,Case=Acc|Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
hac,hic1,PROdem,Case=Abl|Numb=Sing|Gend=Fem
certe,certe,ADV,Deg=Pos
